ID, Model, Training examples, Test examples, Precision, Recall, F1, AUC, Accuracy, Date, Time
chb01, CNN, 2297, 575, 0.87, 0.87, 0.87, 0.93, 0.87, 10/12/2024, 17:36:47
chb02, CNN, 1148, 288, 0.97, 0.96, 0.97, 0.99, 0.97, 10/12/2024, 17:40:36
chb03, CNN, 633, 159, 0.99, 0.99, 0.99, 1.00, 0.99, 10/12/2024, 17:42:22
chb04, CNN, 3108, 778, 0.85, 0.87, 0.86, 0.94, 0.86, 10/12/2024, 17:43:47
chb05, CNN, 2297, 575, 0.63, 0.73, 0.67, 0.69, 0.65, 10/12/2024, 17:45:23
chb06, CNN, 4601, 1151, 0.95, 0.51, 0.67, 0.75, 0.74, 10/12/2024, 17:47:14
chb07, CNN, 2304, 576, 0.90, 0.94, 0.92, 0.98, 0.92, 10/12/2024, 17:49:07
chb08, CNN, 1148, 288, 0.97, 1.00, 0.99, 0.99, 0.99, 10/12/2024, 17:50:30
chb09, CNN, 3452, 864, 0.88, 0.77, 0.82, 0.92, 0.83, 10/12/2024, 17:52:09
chb10, CNN, 3065, 767, 0.99, 1.00, 1.00, 1.00, 1.00, 10/12/2024, 17:53:51
chb11, CNN, 94, 24, 1.00, 1.00, 1.00, 1.00, 1.00, 10/12/2024, 17:55:18
chb13, CNN, 1148, 288, 0.68, 0.81, 0.74, 0.80, 0.72, 10/12/2024, 17:56:18
chb14, CNN, 2297, 575, 0.69, 0.66, 0.68, 0.75, 0.68, 10/12/2024, 17:57:36
chb15, CNN, 1414, 354, 0.75, 0.95, 0.84, 0.89, 0.82, 10/12/2024, 17:58:36
chb16, CNN, 1148, 288, 0.97, 0.81, 0.88, 0.93, 0.89, 10/12/2024, 17:59:24
chb17, CNN, 1003, 251, 0.90, 0.95, 0.92, 0.96, 0.92, 10/12/2024, 18:00:16
chb18, CNN, 1148, 288, 0.89, 0.97, 0.93, 0.96, 0.92, 10/12/2024, 18:01:14
chb19, CNN, 94, 24, 0.86, 1.00, 0.92, 0.99, 0.92, 10/12/2024, 18:02:04
chb20, CNN, 1593, 399, 0.87, 0.96, 0.91, 0.97, 0.91, 10/12/2024, 18:04:12
chb21, CNN, 1148, 288, 0.66, 0.76, 0.71, 0.77, 0.69, 10/12/2024, 18:05:05
chb22, CNN, 1552, 388, 0.72, 0.85, 0.78, 0.84, 0.76, 10/12/2024, 18:06:41
